Ian Nepomniachtchi,2757,"Nisipeanu, LD.",2672,1-0,1,c4 e6
Ian Nepomniachtchi,2757,"Nisipeanu, LD.",2672,1-0,2,Nc3 d5
Ian Nepomniachtchi,2757,"Nisipeanu, LD.",2672,1-0,3,d4 Nf6
Ian Nepomniachtchi,2757,"Nisipeanu, LD.",2672,1-0,4,cxd5 exd5
Ian Nepomniachtchi,2757,"Nisipeanu, LD.",2672,1-0,5,Bg5 c6
Ian Nepomniachtchi,2757,"Nisipeanu, LD.",2672,1-0,6,Qc2 Be7
Ian Nepomniachtchi,2757,"Nisipeanu, LD.",2672,1-0,7,e3 Nbd7
Ian Nepomniachtchi,2757,"Nisipeanu, LD.",2672,1-0,8,Bd3 h6
Ian Nepomniachtchi,2757,"Nisipeanu, LD.",2672,1-0,9,Bh4 Nh5
Ian Nepomniachtchi,2757,"Nisipeanu, LD.",2672,1-0,10,Bxe7 Qxe7
Ian Nepomniachtchi,2757,"Nisipeanu, LD.",2672,1-0,11,O-O-O Nb6
Ian Nepomniachtchi,2757,"Nisipeanu, LD.",2672,1-0,12,Nf3 Nf6
Ian Nepomniachtchi,2757,"Nisipeanu, LD.",2672,1-0,13,Kb1 Be6
Ian Nepomniachtchi,2757,"Nisipeanu, LD.",2672,1-0,14,Ka1 O-O-O
Ian Nepomniachtchi,2757,"Nisipeanu, LD.",2672,1-0,15,Na4 Kb8
Ian Nepomniachtchi,2757,"Nisipeanu, LD.",2672,1-0,16,Rc1 Rhe8
Ian Nepomniachtchi,2757,"Nisipeanu, LD.",2672,1-0,17,Nc5 Bc8
Ian Nepomniachtchi,2757,"Nisipeanu, LD.",2672,1-0,18,b4 Ne4
Ian Nepomniachtchi,2757,"Nisipeanu, LD.",2672,1-0,19,a4 Nd6
Ian Nepomniachtchi,2757,"Nisipeanu, LD.",2672,1-0,20,Nd2 Qf6
Ian Nepomniachtchi,2757,"Nisipeanu, LD.",2672,1-0,21,Rhf1 Bf5
Ian Nepomniachtchi,2757,"Nisipeanu, LD.",2672,1-0,22,Bxf5 Qxf5
Ian Nepomniachtchi,2757,"Nisipeanu, LD.",2672,1-0,23,Qxf5 Nxf5
Ian Nepomniachtchi,2757,"Nisipeanu, LD.",2672,1-0,24,a5 Nd7
